Kota,GK.miskin.persen,ikm.10,ikm.11,ikm.12
A,0.0512216,0.05307,0.14517000000000002,0.16554262
B,0.0846447,0.056760000000000005,0.14145000000000002,0.151168045
C,0.05096690000000001,0.07334,0.14102,0.169016947
D,0.0801047,0.06946,0.17204000000000003,0.18911744300000002
E,0.0575983,0.09534,0.20068000000000003,0.22716907400000003
F,0.0445635,0.05969000000000001,0.13086,0.149660176
G,0.055929000000000006,0.01426,0.06931,0.073079627
