id,Kota,perkap,score12,score11,score3,GK
51,C,1012666.6666666666,0.25,0.25,0,437944.2735
52,A,376354.76190476195,0.625,0.625,0.5,423139.2941
53,B,762443.8629811382,0.25,0.25,0,608804.3096
54,C,1548654.761904762,0.375,0.375,0.16666666666666669,437944.2735
55,G,2019761.9047619049,0.375,0.375,0.16666666666666669,578589.38449
56,D,1009557.9201228879,0.375,0.375,0.16666666666666669,579742.9057
57,G,1218031.746031746,0.125,0,0,578589.38449
58,D,600163.6904761905,0.5,0.5,0.3333333333333333,579742.9057
59,D,561414.6428571428,0.25,0.25,0,579742.9057
60,C,3569705.3571428573,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
61,C,655588.8888888889,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
62,E,1168577.3809523808,0.4583333333333333,0.4583333333333333,0.2777777777777778,410945.0876
63,A,862557.142857143,0.3333333333333333,0.2083333333333333,0.2777777777777778,423139.2941
64,B,1212005.9523809524,0.5416666666666667,0.5416666666666667,0.38888888888888884,608804.3096
65,A,1111726.1904761905,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
66,A,296555.75396825396,0.375,0.375,0.16666666666666669,423139.2941
67,B,1046394.3452380951,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
68,F,463607.56554335856,0.25,0.125,0.16666666666666669,529685.4639
69,A,1628087.3015873015,0.25,0.25,0,423139.2941
70,E,724133.9285714285,0.3333333333333333,0.2083333333333333,0.2777777777777778,410945.0876
71,A,1064325.396825397,0.25,0.25,0,423139.2941
72,G,593414.6825396825,0.125,0,0,578589.38449
73,A,820739.5833333334,0.2916666666666667,0.16666666666666669,0.2222222222222222,423139.2941
74,E,577537.9939209727,0.375,0.25,0.3333333333333333,410945.0876
75,G,965773.8095238096,0.625,0.625,0.5,578589.38449
76,F,721765.873015873,0.25,0.25,0,529685.4639
77,D,821190.4761904761,0.25,0.125,0.16666666666666669,579742.9057
78,A,544744.0476190476,0.125,0,0,423139.2941
79,C,334404.7619047619,0.4583333333333333,0.4583333333333333,0.2777777777777778,437944.2735
80,A,2056488.0952380951,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
81,E,1548310.570381999,0.2916666666666667,0.16666666666666669,0.2222222222222222,410945.0876
82,E,2090952.380952381,0.041666666666666664,0.041666666666666664,0.05555555555555555,410945.0876
83,B,973309.5238095238,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
84,B,2222737.103174603,0.16666666666666669,0.16666666666666669,0.2222222222222222,608804.3096
85,F,497898.8095238095,0.4583333333333333,0.4583333333333333,0.2777777777777778,529685.4639
86,A,1780555.5555555553,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
87,C,2522658.73015873,0.4166666666666666,0.4166666666666666,0.2222222222222222,437944.2735
88,A,617013.8888888889,0.3333333333333333,0.2083333333333333,0.2777777777777778,423139.2941
89,E,383537.4149659864,0.375,0.375,0.16666666666666669,410945.0876
90,C,483507.1428571429,0.4583333333333333,0.4583333333333333,0.2777777777777778,437944.2735
91,C,1543048.75,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
92,E,541885.1260717453,0.2916666666666667,0.2916666666666667,0.05555555555555555,410945.0876
93,D,1104384.9206349207,0.25,0.375,0.16666666666666669,579742.9057
94,A,317782.31292517006,0.5833333333333334,0.5833333333333334,0.4444444444444444,423139.2941
95,B,932182.5396825396,0.3333333333333333,0.3333333333333333,0.11111111111111109,608804.3096
96,B,958480.1587301587,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
97,A,717583.3333333334,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
98,G,303854.0833333333,0.4166666666666666,0.4166666666666666,0.2222222222222222,578589.38449
99,B,1999672.619047619,0,0,0,608804.3096
100,A,1040571.1904761905,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
101,B,1135781.746031746,0.2916666666666667,0.2916666666666667,0.05555555555555555,608804.3096
102,A,785089.4667966194,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
103,G,627495.2380952381,0.2916666666666667,0.16666666666666669,0.2222222222222222,578589.38449
104,D,861907.6292989418,0.4583333333333333,0.4583333333333333,0.2777777777777778,579742.9057
105,C,646797.619047619,0.625,0.625,0.5,437944.2735
106,B,616204.6962453524,0.5833333333333334,0.5833333333333334,0.4444444444444444,608804.3096
107,G,1355616.6666666667,0.5,0.5,0.33333333333333337,578589.38449
108,E,668758.9285714286,0.375,0.375,0.16666666666666669,410945.0876
109,A,898763.3928571428,0.375,0.375,0.16666666666666669,423139.2941
110,B,3176255.9523809524,0.2916666666666667,0.16666666666666669,0.2222222222222222,608804.3096
111,A,1423797.619047619,0.08333333333333333,0.08333333333333333,0.11111111111111109,423139.2941
112,A,933824.4047619049,0.2916666666666667,0.2916666666666667,0.05555555555555555,423139.2941
113,C,927166.6666666666,0.3333333333333333,0.2083333333333333,0.2777777777777778,437944.2735
114,A,2568619.0476190476,0.2916666666666667,0.2916666666666667,0.05555555555555555,423139.2941
115,A,843809.5238095237,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
116,G,543145.8333333334,0.4166666666666666,0.4166666666666666,0.2222222222222222,578589.38449
117,D,964066.9841269841,0.4166666666666666,0.4166666666666666,0.2222222222222222,579742.9057
118,C,886615.0793650794,0.375,0.375,0.16666666666666669,437944.2735
119,D,924505.9523809524,0.4166666666666667,0.2916666666666667,0.38888888888888884,579742.9057
120,E,708279.7619047619,0.2916666666666667,0.2916666666666667,0.05555555555555555,410945.0876
121,B,280764.88095238095,0.3333333333333333,0.3333333333333333,0.11111111111111109,608804.3096
122,A,855050.5952380951,0.5416666666666667,0.5416666666666667,0.38888888888888884,423139.2941
123,E,1731714.081632653,0.375,0.375,0.16666666666666669,410945.0876
124,A,373990.4761904762,0.5416666666666667,0.5416666666666667,0.38888888888888884,423139.2941
125,B,593885.7142857143,0.5833333333333334,0.5833333333333334,0.4444444444444444,608804.3096
126,B,947432.5396825396,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
127,A,3136785.714285714,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
128,B,2079656.746031746,0.041666666666666664,0.041666666666666664,0.05555555555555555,608804.3096
129,G,621416.6666666666,0.375,0.375,0.16666666666666669,578589.38449
130,C,813035.7142857143,0.25,0.25,0,437944.2735
131,B,574319.0476190476,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
132,A,740960.3174603175,0.375,0.375,0.16666666666666669,423139.2941
133,D,1414297.6190476192,0.041666666666666664,0.041666666666666664,0.05555555555555555,579742.9057
134,D,714779.6352583587,0.5416666666666667,0.5416666666666667,0.38888888888888884,579742.9057
135,D,1596809.5238095236,0.16666666666666669,0.041666666666666664,0.05555555555555555,579742.9057
136,G,1286969.8412698412,0.16666666666666669,0.16666666666666669,0.2222222222222222,578589.38449
137,E,590933.2373595865,0.25,0.125,0.16666666666666669,410945.0876
138,B,555619.0476190476,0.4166666666666666,0.4166666666666666,0.2222222222222222,608804.3096
139,A,682680.8510638297,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
140,B,853654.7619047619,0.4166666666666667,0.2916666666666667,0.38888888888888884,608804.3096
141,D,775020.4081632653,0.2083333333333333,0.08333333333333333,0.11111111111111109,579742.9057
142,G,724378.9682539683,0.4166666666666666,0.4166666666666666,0.2222222222222222,578589.38449
143,G,1103281.746031746,0.25,0.25,0,578589.38449
144,G,861681.4388227514,0.4166666666666666,0.4166666666666666,0.2222222222222222,578589.38449
145,G,456559.3144827335,0.25,0.25,0,578589.38449
146,E,658460.3174603175,0.2916666666666667,0.2916666666666667,0.05555555555555555,410945.0876
147,C,1020869.0476190477,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
148,A,444202.38095238095,0.5,0.5,0.3333333333333333,423139.2941
149,A,990751.4880952381,0.3333333333333333,0.3333333333333333,0.11111111111111109,423139.2941
150,A,672404.7619047619,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
151,G,819128.4013605443,0.25,0.25,0,578589.38449
152,E,956220.2380952381,0.041666666666666664,0.041666666666666664,0.05555555555555555,410945.0876
153,E,616586.3095238095,0.16666666666666669,0.041666666666666664,0.05555555555555555,410945.0876
154,F,431255.95238095237,0.25,0.25,0,529685.4639
155,B,592063.4920634921,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
156,B,897458.3333333333,0.125,0,0,608804.3096
157,G,824096.4058831258,0.4166666666666666,0.4166666666666666,0.2222222222222222,578589.38449
158,F,2141464.2857142854,0.2916666666666667,0.2916666666666667,0.05555555555555555,529685.4639
159,C,246752.9761904762,0.5,0.5,0.3333333333333333,437944.2735
160,D,529466.6666666666,0.4583333333333333,0.4583333333333333,0.2777777777777778,579742.9057
161,B,1004063.4920634921,0.16666666666666669,0.041666666666666664,0.05555555555555555,608804.3096
162,A,1021290.1785714286,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
163,A,841011.9047619047,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
164,A,2057801.587301587,0.25,0.25,0,423139.2941
165,C,504464.28571428574,0.5416666666666667,0.5416666666666667,0.38888888888888884,437944.2735
166,G,648145.8333333334,0.375,0.375,0.16666666666666669,578589.38449
167,A,687333.3333333334,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
168,E,1310166.6666666667,0.2083333333333333,0.08333333333333333,0.11111111111111109,410945.0876
169,A,1069940.4761904762,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
170,A,577500,0.2916666666666667,0.2916666666666667,0.05555555555555555,423139.2941
171,G,1385386.9047619049,0.041666666666666664,0.041666666666666664,0.05555555555555555,578589.38449
172,A,1279682.5396825399,0.041666666666666664,0.041666666666666664,0.05555555555555555,423139.2941
173,A,1245565.4761904762,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
174,E,819928.5714285714,0.2916666666666667,0.2916666666666667,0.05555555555555555,410945.0876
175,G,1112539.6825396826,0.4583333333333333,0.4583333333333333,0.2777777777777778,578589.38449
176,E,623336.3095238095,0.5833333333333334,0.5833333333333334,0.4444444444444444,410945.0876
177,D,1014448.4126984127,0.16666666666666669,0.041666666666666664,0.05555555555555555,579742.9057
178,G,753547.6190476189,0.3333333333333333,0.3333333333333333,0.11111111111111109,578589.38449
179,A,809203.9941147871,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
180,E,561943.4523809524,0.2916666666666667,0.2916666666666667,0.05555555555555555,410945.0876
181,B,753571.4285714286,0.4166666666666667,0.2916666666666667,0.38888888888888884,608804.3096
182,E,2340142.8571428573,0.2916666666666667,0.16666666666666669,0.2222222222222222,410945.0876
183,E,1020178.5714285715,0.125,0,0,410945.0876
184,F,724603.1746031746,0.2083333333333333,0.08333333333333333,0.11111111111111109,529685.4639
185,B,867744.0476190476,0.375,0.375,0.16666666666666669,608804.3096
186,E,497349.7906732097,0.4583333333333333,0.4583333333333333,0.2777777777777778,410945.0876
187,A,791964.2857142858,0.7083333333333334,0.7083333333333334,0.6111111111111113,423139.2941
188,C,1022440.4761904762,0.3333333333333333,0.2083333333333333,0.2777777777777778,437944.2735
189,A,627955.3571428572,0.5416666666666667,0.5416666666666667,0.38888888888888884,423139.2941
190,C,1086584.9206349207,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
191,A,771589.9682539683,0.375,0.375,0.16666666666666669,423139.2941
192,D,351797.6190476191,0.6666666666666666,0.5416666666666666,0.7222222222222223,579742.9057
193,D,708538.0952380951,0.25,0.25,0,579742.9057
194,E,704488.0952380951,0.3333333333333333,0.2083333333333333,0.2777777777777778,410945.0876
195,A,2345517.8571428573,0.5,0.5,0.3333333333333333,423139.2941
196,G,885181.4077893392,0.2916666666666667,0.16666666666666669,0.2222222222222222,578589.38449
197,E,438595.2380952381,0.375,0.375,0.16666666666666669,410945.0876
198,D,673952.380952381,0.375,0.375,0.16666666666666669,579742.9057
199,F,550877.1505456349,0.4166666666666666,0.4166666666666666,0.2222222222222222,529685.4639
200,E,908843.5868055556,0.2916666666666667,0.2916666666666667,0.05555555555555555,410945.0876
201,C,386613.01080715976,0.4166666666666666,0.4166666666666666,0.2222222222222222,437944.2735
202,A,343043.1003637566,0.375,0.375,0.16666666666666669,423139.2941
203,C,491153.9207432146,0.4166666666666666,0.4166666666666666,0.2222222222222222,437944.2735
204,A,1218882.230731628,0.375,0.375,0.16666666666666669,423139.2941
205,B,664648.8095238095,0.2083333333333333,0.08333333333333333,0.11111111111111109,608804.3096
206,G,1935904.7619047617,0.25,0.25,0,578589.38449
207,C,1803674.6031746033,0.125,0,0,437944.2735
208,A,524244.0476190476,0.4166666666666666,0.2916666666666667,0.388888888888889,423139.2941
209,G,394259.92063492065,0.25,0.125,0.16666666666666669,578589.38449
210,B,1016428.5714285715,0.4166666666666666,0.4166666666666666,0.2222222222222222,608804.3096
211,A,969085.4362337447,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
212,A,4222952.380952381,0,0,0,423139.2941
213,B,3941666.6666666665,0.2916666666666667,0.16666666666666669,0.2222222222222222,608804.3096
214,G,2199134.26984127,0.375,0.375,0.16666666666666669,578589.38449
215,A,582244.0476190476,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
216,F,441587.9629629629,0.25,0.125,0.16666666666666669,529685.4639
217,B,843428.5714285715,0.16666666666666669,0.041666666666666664,0.05555555555555555,608804.3096
218,C,826819.0476190476,0.4166666666666667,0.2916666666666667,0.38888888888888884,437944.2735
219,G,1732706.349206349,0.25,0.125,0.16666666666666669,578589.38449
220,A,1284047.6190476192,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
221,E,1068987.2230431358,0.2916666666666667,0.16666666666666669,0.2222222222222222,410945.0876
222,F,781380.9523809524,0.5416666666666667,0.5416666666666667,0.38888888888888884,529685.4639
223,E,1713361.6954351147,0.041666666666666664,0.041666666666666664,0.05555555555555555,410945.0876
224,E,1358226.1904761905,0.2083333333333333,0.08333333333333333,0.11111111111111109,410945.0876
225,A,605734.126984127,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
226,D,1710309.5238095238,0.25,0.125,0.16666666666666669,579742.9057
227,E,270935.57473452075,0.375,0.375,0.16666666666666669,410945.0876
228,A,2796547.4523809524,0.375,0.375,0.16666666666666669,423139.2941
229,F,362929.8988095238,0.375,0.375,0.16666666666666669,529685.4639
230,D,1348511.9047619049,0.125,0,0,579742.9057
231,F,869975.2053571428,0.16666666666666669,0.041666666666666664,0.05555555555555555,529685.4639
232,E,708854.1666666667,0.4166666666666666,0.4166666666666666,0.2222222222222222,410945.0876
233,A,567480.1642857143,0.125,0,0,423139.2941
234,B,620603.169047619,0.2916666666666667,0.2916666666666667,0.05555555555555555,608804.3096
235,F,4256785.547619048,0.4166666666666666,0.4166666666666666,0.2222222222222222,529685.4639
236,B,1069803.4842090756,0.4166666666666666,0.4166666666666666,0.2222222222222222,608804.3096
237,A,1683342.857142857,0.16666666666666669,0.16666666666666669,0.2222222222222222,423139.2941
238,G,1973766.6666666665,0.2916666666666667,0.2916666666666667,0.05555555555555555,578589.38449
239,F,1258475.1438422392,0.25,0.25,0,529685.4639
240,B,1759450.2875930236,0.2916666666666667,0.2916666666666667,0.05555555555555555,608804.3096
241,A,1655947.2497718,0.25,0.25,0,423139.2941
242,B,1949595.3178221972,0.375,0.25,0.33333333333333337,608804.3096
243,A,1353511.9047619049,0,0,0,423139.2941
244,A,104345.2380952381,0.6666666666666667,0.6666666666666667,0.5555555555555557,423139.2941
245,A,388129.96726190473,0.25,0.25,0,423139.2941
246,E,381667.9801587302,0.4166666666666666,0.4166666666666666,0.2222222222222222,410945.0876
247,C,654497.3452380953,0.25,0.375,0.16666666666666669,437944.2735
248,D,935678.5714285715,0.5,0.5,0.3333333333333333,579742.9057
249,E,2537162.698412698,0.5,0.5,0.3333333333333333,410945.0876
250,D,406607.14285714284,0.4583333333333333,0.4583333333333333,0.2777777777777778,579742.9057
251,A,375497.61904761905,0.2916666666666667,0.2916666666666667,0.05555555555555555,423139.2941
252,C,602154.7619047619,0.375,0.375,0.16666666666666669,437944.2735
253,A,676890.0952380953,0.125,0,0,423139.2941
254,A,874230.3571428572,0.5416666666666667,0.5416666666666667,0.38888888888888884,423139.2941
255,E,649880.1020408163,0.375,0.375,0.16666666666666669,410945.0876
256,D,1057619.0476190476,0.4166666666666666,0.4166666666666666,0.2222222222222222,579742.9057
257,C,1979851.1904761903,0,0,0,437944.2735
258,B,1235680.2721088436,0.375,0.25,0.3333333333333333,608804.3096
259,F,1650779.761904762,0.041666666666666664,0.041666666666666664,0.05555555555555555,529685.4639
260,F,522132.9365079365,0.25,0.125,0.16666666666666669,529685.4639
261,G,493577.38095238095,0.125,0.125,0.16666666666666669,578589.38449
262,C,2264912.698412698,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
263,A,848083.3333333334,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
264,F,1712250,0.4166666666666666,0.4166666666666666,0.2222222222222222,529685.4639
265,B,571285.7142857143,0.375,0.375,0.16666666666666669,608804.3096
266,D,505130.9523809524,0.25,0.25,0,579742.9057
267,E,1218891.369047619,0,0,0,410945.0876
268,E,275401.3605442177,0.4583333333333333,0.4583333333333333,0.2777777777777778,410945.0876
269,G,1032952.380952381,0.16666666666666669,0.041666666666666664,0.05555555555555555,578589.38449
270,C,627523.8095238096,0.375,0.25,0.33333333333333337,437944.2735
271,F,688779.7619130953,0.375,0.375,0.16666666666666669,529685.4639
272,B,1195818.4523809524,0.16666666666666669,0.16666666666666669,0.2222222222222222,608804.3096
273,E,743492.0634920634,0.375,0.25,0.3333333333333333,410945.0876
274,G,3794472.222222222,0.375,0.375,0.16666666666666669,578589.38449
275,A,1170184.3571428573,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
276,E,714207.7518700269,0.4166666666666666,0.4166666666666666,0.2222222222222222,410945.0876
277,F,2309757.1428571427,0.125,0,0,529685.4639
278,G,962436.0714285715,0.375,0.375,0.16666666666666669,578589.38449
279,A,1835612.3974821274,0.25,0.25,0,423139.2941
280,B,1742865.0793650795,0.16666666666666669,0.041666666666666664,0.05555555555555555,608804.3096
281,E,1261551.5873015875,0.25,0.125,0.16666666666666669,410945.0876
282,C,1207840.4761904762,0.2916666666666667,0.2916666666666667,0.05555555555555555,437944.2735
283,A,2101853.174603175,0.125,0,0,423139.2941
284,C,712054.9846938775,0.25,0.25,0,437944.2735
285,E,1400150.7936507936,0.3333333333333333,0.3333333333333333,0.11111111111111109,410945.0876
286,A,2156559.523809524,0.125,0,0,423139.2941
287,G,1038020.4081632653,0.4583333333333333,0.4583333333333333,0.2777777777777778,578589.38449
288,A,1120833.3333333335,0.2916666666666667,0.16666666666666669,0.2222222222222222,423139.2941
289,A,1804404.761904762,0.16666666666666669,0.2916666666666667,0.05555555555555555,423139.2941
290,A,1148133.3333333333,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
291,G,2567500,0.375,0.375,0.16666666666666669,578589.38449
292,D,458412.69841269846,0.2916666666666667,0.16666666666666669,0.2222222222222222,579742.9057
293,C,1415135.017668514,0.125,0,0,437944.2735
294,B,1248730.1587301586,0.16666666666666669,0.041666666666666664,0.05555555555555555,608804.3096
295,D,727832.4487107096,0.25,0.125,0.16666666666666669,579742.9057
296,A,1146845.238095238,0.2916666666666667,0.16666666666666669,0.2222222222222222,423139.2941
297,E,684439.990281827,0.125,0,0,410945.0876
298,D,278965.7738095238,0.2916666666666667,0.2916666666666667,0.05555555555555555,579742.9057
299,D,336325.92995647015,0.4166666666666666,0.4166666666666666,0.2222222222222222,579742.9057
300,E,427802.03207439714,0.25,0.25,0,410945.0876
301,C,734567.4603174604,0.2916666666666667,0.16666666666666669,0.2222222222222222,437944.2735
302,E,693690.4761904762,0.3333333333333333,0.2083333333333333,0.2777777777777778,410945.0876
303,B,952217.2619047619,0.3333333333333333,0.3333333333333333,0.11111111111111109,608804.3096
304,C,895580.8632977,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
305,F,1710866.8926289428,0.25,0.125,0.16666666666666669,529685.4639
306,D,1162679.3926289428,0.375,0.375,0.16666666666666669,579742.9057
307,E,879940.4761904762,0.2083333333333333,0.08333333333333333,0.11111111111111109,410945.0876
308,A,1048351.1904761905,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
309,B,1296478.9682539683,0.16666666666666669,0.041666666666666664,0.05555555555555555,608804.3096
310,C,735019.2598065349,0.4166666666666666,0.4166666666666666,0.2222222222222222,437944.2735
311,A,530566.0714285714,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
312,A,905436.5079365079,0.2916666666666667,0.16666666666666669,0.2222222222222222,423139.2941
313,A,769869.0476190476,0.375,0.375,0.16666666666666669,423139.2941
314,E,1429535.7142857143,0.375,0.375,0.16666666666666669,410945.0876
315,A,673963.392857143,0.25,0.25,0,423139.2941
316,E,559041.6666666666,0.125,0,0,410945.0876
317,C,869603.1746031746,0.25,0.125,0.16666666666666669,437944.2735
318,A,728127.9761904762,0.375,0.25,0.3333333333333333,423139.2941
319,A,1434271.4285714286,0.2916666666666667,0.4166666666666666,0.2222222222222222,423139.2941
320,A,1812511.9047619049,0.25,0.125,0.16666666666666669,423139.2941
321,D,1002464.2857142857,0.4583333333333333,0.4583333333333333,0.2777777777777778,579742.9057
322,C,675832.2866993819,0.625,0.625,0.5,437944.2735
323,A,1973907.2147782627,0.25,0.25,0,423139.2941
324,A,1006928.5714285714,0.4583333333333333,0.4583333333333333,0.2777777777777778,423139.2941
325,A,549071.7908902692,0.2083333333333333,0.08333333333333333,0.11111111111111109,423139.2941
326,G,1002948.4126984127,0.16666666666666669,0.041666666666666664,0.05555555555555555,578589.38449
327,B,1780452.380952381,0.4166666666666666,0.4166666666666666,0.2222222222222222,608804.3096
328,F,495920.63492063497,0.2916666666666667,0.16666666666666669,0.2222222222222222,529685.4639
329,G,1186297.619047619,0.5,0.5,0.3333333333333333,578589.38449
330,G,1067029.761904762,0.25,0.25,0,578589.38449
331,A,3257797.6190476194,0.375,0.375,0.16666666666666669,423139.2941
332,C,449611.1111111112,0.5416666666666667,0.5416666666666667,0.38888888888888884,437944.2735
333,E,738106.9684181509,0.375,0.25,0.3333333333333333,410945.0876
334,A,1467154.761904762,0.5,0.5,0.3333333333333333,423139.2941
335,G,800981.7067596631,0.5416666666666667,0.5416666666666667,0.38888888888888884,578589.38449
336,A,2798333.333333333,0.3333333333333333,0.3333333333333333,0.11111111111111109,423139.2941
337,B,954142.8571428572,0.4583333333333333,0.4583333333333333,0.2777777777777778,608804.3096
338,G,806892.8571428572,0.4166666666666666,0.4166666666666666,0.2222222222222222,578589.38449
339,E,1471751.7006802722,0.25,0.25,0,410945.0876
340,A,583869.0476190476,0.625,0.625,0.5,423139.2941
341,E,1141413.587958318,0.125,0,0,410945.0876
342,F,962888.7725962276,0.3333333333333333,0.3333333333333333,0.11111111111111109,529685.4639
343,G,815337.3015873017,0.25,0.25,0,578589.38449
344,C,1085396.8253968253,0.2916666666666667,0.2916666666666667,0.05555555555555555,437944.2735
345,G,1145803.5714285714,0.3333333333333333,0.3333333333333333,0.11111111111111109,578589.38449
346,A,744041.6666666667,0.25,0.25,0,423139.2941
347,A,788062.5,0.5416666666666667,0.5416666666666667,0.38888888888888884,423139.2941
348,A,599350.7543787108,0.5833333333333334,0.5833333333333334,0.4444444444444444,423139.2941
349,A,833437.5,0.16666666666666669,0.041666666666666664,0.05555555555555555,423139.2941
350,A,1019171.6407589159,0.125,0,0,423139.2941
351,B,849720.2380952381,0.125,0.125,0.16666666666666669,608804.3096
352,B,693300,0.16666666666666669,0.041666666666666664,0.05555555555555555,608804.3096
353,G,468223.57871720113,0.125,0,0,578589.38449
354,E,357076.6147741148,0.125,0,0,410945.0876
