id,Kota,perkap,score12,score11,score3,GK
1,A,357146.25850340136,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
2,F,421812.6984126984,0.25,0.25,0,529685.4639
3,G,482617.0634920635,0.5416666666666667,0.5416666666666667,0.38888888888888884,578589.38449
4,C,893619.1279214962,0.2916666666666667,0.16666666666666669,0.2222222222222222,437944.2735
5,A,1756063.4920634918,0.125,0.25,0,423139.2941
6,A,852022.5936644251,0.125,0.125,0.16666666666666669,423139.2941
7,A,490461.90476190473,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
8,B,594450.3968253968,0.25,0.25,0,608804.3096
9,D,754515.873015873,0.16666666666666669,0.041666666666666664,0.05555555555555555,579742.9057
10,E,504690.4761904762,0.5833333333333334,0.5833333333333334,0.4444444444444444,410945.0876
11,D,558398.8095238095,0.2916666666666667,0.16666666666666669,0.2222222222222222,579742.9057
12,F,603738.0952380953,0.375,0.375,0.16666666666666669,529685.4639
13,F,643380.9523809523,0.4583333333333333,0.4583333333333333,0.2777777777777778,529685.4639
14,C,409579.36507936503,0.16666666666666669,0.041666666666666664,0.05555555555555555,437944.2735
15,D,397433.3333333334,0.375,0.375,0.16666666666666669,579742.9057
16,E,871011.9047619049,0.4166666666666666,0.4166666666666666,0.2222222222222222,410945.0876
17,A,857547.619047619,0.3333333333333333,0.2083333333333333,0.2777777777777778,423139.2941
18,D,480187.07482993195,0.375,0.375,0.16666666666666669,579742.9057
19,D,794561.9047619047,0.2916666666666667,0.16666666666666669,0.2222222222222222,579742.9057
20,A,674248.2993197279,0.2916666666666667,0.16666666666666669,0.2222222222222222,423139.2941
21,C,726170.6349206349,0.5416666666666667,0.5416666666666667,0.38888888888888884,437944.2735
22,G,864959.0501519757,0.25,0.125,0.16666666666666669,578589.38449
23,A,347000.85034013604,0.4166666666666666,0.4166666666666666,0.2222222222222222,423139.2941
24,A,317435.61904761905,0.25,0.25,0,423139.2941
25,C,689508.9285714286,0.25,0.25,0,437944.2735
26,D,483176.0571428571,0.2916666666666667,0.2916666666666667,0.05555555555555555,579742.9057
27,B,470585.71428571426,0.125,0,0,608804.3096
28,B,559386.9047619047,0.4166666666666666,0.4166666666666666,0.2222222222222222,608804.3096
29,G,591035.7142857143,0.5416666666666667,0.5416666666666667,0.38888888888888884,578589.38449
30,B,529729.2040816327,0.375,0.375,0.16666666666666669,608804.3096
31,A,2818517.6904761903,0.5,0.5,0.3333333333333333,423139.2941
32,B,993404.7619047618,0.25,0.25,0,608804.3096
33,A,793646.8253968254,0.375,0.375,0.16666666666666669,423139.2941
34,B,609931.9727891156,0.4166666666666666,0.4166666666666666,0.2222222222222222,608804.3096
35,G,592945.4365079366,0.2916666666666667,0.2916666666666667,0.05555555555555555,578589.38449
36,A,486105.3333333334,0.5,0.5,0.3333333333333333,423139.2941
37,G,182658.50340136053,0.5416666666666667,0.5416666666666667,0.38888888888888884,578589.38449
38,F,643824.2959656086,0.25,0.25,0,529685.4639
39,G,581358.630952381,0.25,0.125,0.16666666666666669,578589.38449
40,C,301549.5992063492,0.2916666666666667,0.2916666666666667,0.05555555555555555,437944.2735
41,F,997464.2857142858,0.375,0.25,0.3333333333333333,529685.4639
42,A,803035.7142857142,0.25,0.25,0,423139.2941
43,A,886964.2857142857,0.375,0.375,0.16666666666666669,423139.2941
44,G,728617.5595238095,0.375,0.375,0.16666666666666669,578589.38449
45,C,1643035.7142857143,0.375,0.375,0.16666666666666669,437944.2735
46,E,495960.31746031746,0.5416666666666667,0.5416666666666667,0.38888888888888884,410945.0876
47,G,876472.2222222224,0.25,0.25,0,578589.38449
48,E,311603.41510341514,0.125,0,0,410945.0876
49,A,805434.5238095238,0,0,0,423139.2941
50,E,563093.2539682541,0.25,0.25,0,410945.0876
